endDate,endTime,NO2
01/10/2015,01:00:00,7.65
01/10/2015,02:00:00,9.5625
01/10/2015,03:00:00,7.65
01/10/2015,04:00:00,11.475
01/10/2015,05:00:00,21.0375
01/10/2015,06:00:00,32.5125
01/10/2015,07:00:00,43.9875
01/10/2015,08:00:00,32.5125
01/10/2015,09:00:00,15.3
01/10/2015,10:00:00,11.475
01/10/2015,11:00:00,
01/10/2015,12:00:00,
01/10/2015,13:00:00,
01/10/2015,14:00:00,
01/10/2015,15:00:00,
01/10/2015,16:00:00,
01/10/2015,17:00:00,
01/10/2015,18:00:00,
01/10/2015,19:00:00,
01/10/2015,20:00:00,
01/10/2015,21:00:00,
01/10/2015,22:00:00,
01/10/2015,23:00:00,
01/10/2015,24:00:00,
02/10/2015,01:00:00,
02/10/2015,02:00:00,
02/10/2015,03:00:00,
02/10/2015,04:00:00,
02/10/2015,05:00:00,
02/10/2015,06:00:00,
02/10/2015,07:00:00,
02/10/2015,08:00:00,
02/10/2015,09:00:00,
02/10/2015,10:00:00,
02/10/2015,11:00:00,
02/10/2015,12:00:00,
02/10/2015,13:00:00,
02/10/2015,14:00:00,
02/10/2015,15:00:00,
02/10/2015,16:00:00,
02/10/2015,17:00:00,
02/10/2015,18:00:00,
02/10/2015,19:00:00,40.1625
02/10/2015,20:00:00,36.3375
02/10/2015,21:00:00,17.2125
02/10/2015,22:00:00,22.95
02/10/2015,23:00:00,28.6875
02/10/2015,24:00:00,11.475
03/10/2015,01:00:00,
03/10/2015,02:00:00,
03/10/2015,03:00:00,11.475
03/10/2015,04:00:00,3.825
03/10/2015,05:00:00,5.7375
03/10/2015,06:00:00,26.775
03/10/2015,07:00:00,32.5125
03/10/2015,08:00:00,26.775
03/10/2015,09:00:00,15.3
03/10/2015,10:00:00,9.5625
03/10/2015,11:00:00,15.3
03/10/2015,12:00:00,13.3875
03/10/2015,13:00:00,17.2125
03/10/2015,14:00:00,11.475
03/10/2015,15:00:00,17.2125
03/10/2015,16:00:00,17.2125
03/10/2015,17:00:00,38.25
03/10/2015,18:00:00,59.2875
03/10/2015,19:00:00,47.8125
03/10/2015,20:00:00,38.25
03/10/2015,21:00:00,32.5125
03/10/2015,22:00:00,30.6
03/10/2015,23:00:00,30.6
03/10/2015,24:00:00,19.125
04/10/2015,01:00:00,17.2125
04/10/2015,02:00:00,15.3
04/10/2015,03:00:00,17.2125
04/10/2015,04:00:00,15.3
04/10/2015,05:00:00,15.3
04/10/2015,06:00:00,24.8625
04/10/2015,07:00:00,22.95
04/10/2015,08:00:00,24.8625
04/10/2015,09:00:00,24.8625
04/10/2015,10:00:00,19.125
04/10/2015,11:00:00,15.3
04/10/2015,12:00:00,9.5625
04/10/2015,13:00:00,11.475
04/10/2015,14:00:00,9.5625
04/10/2015,15:00:00,19.125
04/10/2015,16:00:00,21.0375
04/10/2015,17:00:00,34.425
04/10/2015,18:00:00,47.8125
04/10/2015,19:00:00,53.55
04/10/2015,20:00:00,36.3375
04/10/2015,21:00:00,15.3
04/10/2015,22:00:00,13.3875
04/10/2015,23:00:00,11.475
04/10/2015,24:00:00,7.65
05/10/2015,01:00:00,7.65
05/10/2015,02:00:00,9.5625
05/10/2015,03:00:00,7.65
05/10/2015,04:00:00,9.5625
05/10/2015,05:00:00,9.5625
05/10/2015,06:00:00,9.5625
05/10/2015,07:00:00,13.3875
05/10/2015,08:00:00,21.0375
05/10/2015,09:00:00,13.3875
05/10/2015,10:00:00,13.3875
05/10/2015,11:00:00,15.3
05/10/2015,12:00:00,13.3875
05/10/2015,13:00:00,11.475
05/10/2015,14:00:00,13.3875
05/10/2015,15:00:00,17.2125
05/10/2015,16:00:00,21.0375
05/10/2015,17:00:00,21.0375
05/10/2015,18:00:00,21.0375
05/10/2015,19:00:00,19.125
05/10/2015,20:00:00,13.3875
05/10/2015,21:00:00,11.475
05/10/2015,22:00:00,9.5625
05/10/2015,23:00:00,7.65
05/10/2015,24:00:00,7.65
06/10/2015,01:00:00,3.825
06/10/2015,02:00:00,1.9125
06/10/2015,03:00:00,1.9125
06/10/2015,04:00:00,3.825
06/10/2015,05:00:00,5.7375
06/10/2015,06:00:00,
06/10/2015,07:00:00,
06/10/2015,08:00:00,
06/10/2015,09:00:00,
06/10/2015,10:00:00,
06/10/2015,11:00:00,15.3
06/10/2015,12:00:00,15.3
06/10/2015,13:00:00,11.475
06/10/2015,14:00:00,11.475
06/10/2015,15:00:00,15.3
06/10/2015,16:00:00,13.3875
06/10/2015,17:00:00,19.125
06/10/2015,18:00:00,22.95
06/10/2015,19:00:00,15.3
